"LIST"	"premset"	"pp"	"item"	"rules"	"ruletype"
"1"	1	"baseline"	1	"1. Mozart"	"sub"	2
"2"	1	"baseline"	2	"1. Mozart"	"rest"	5
"3"	1	"baseline"	3	"1. Mozart"	"sub"	2
"4"	1	"baseline"	4	"1. Mozart"	"sub"	2
"5"	1	"baseline"	5	"1. Mozart"	"sub"	2
"6"	1	"baseline"	6	"1. Mozart"	"cat"	3
"7"	1	"baseline"	7	"1. Mozart"	"sub"	2
"8"	1	"baseline"	8	"1. Mozart"	"sub"	2
"9"	1	"baseline"	9	"1. Mozart"	"sub"	2
"10"	1	"baseline"	10	"1. Mozart"	"sub"	2
"11"	1	"baseline"	11	"1. Mozart"	"sub"	2
"12"	1	"baseline"	12	"1. Mozart"	"sub"	2
"13"	1	"baseline"	13	"1. Mozart"	"sub"	2
"14"	1	"baseline"	14	"1. Mozart"	"sub"	2
"15"	1	"baseline"	15	"1. Mozart"	"sub"	2
"16"	1	"baseline"	16	"1. Mozart"	"sub"	2
"17"	1	"baseline"	17	"1. Mozart"	"sub"	2
"18"	1	"baseline"	18	"1. Mozart"	"sub"	2
"19"	1	"baseline"	19	"1. Mozart"	"sub"	2
"20"	1	"baseline"	20	"1. Mozart"	"rest"	5
"21"	1	"baseline"	21	"1. Mozart"	"sub"	2
"22"	1	"baseline"	22	"1. Mozart"	"sub"	2
"23"	1	"baseline"	23	"1. Mozart"	"sub"	2
"24"	1	"baseline"	24	"1. Mozart"	"base"	1
"25"	1	"baseline"	25	"1. Mozart"	"sub"	2
"26"	1	"baseline"	26	"1. Mozart"	"cat"	3
"27"	1	"baseline"	27	"1. Mozart"	"sub"	2
"28"	1	"baseline"	28	"1. Mozart"	"cat"	3
"29"	2	"close negative"	29	"1. Mozart"	"sub"	2
"30"	2	"close negative"	30	"1. Mozart"	"sub"	2
"31"	2	"close negative"	31	"1. Mozart"	"sub"	2
"32"	2	"close negative"	32	"1. Mozart"	"sub"	2
"33"	2	"close negative"	33	"1. Mozart"	"sub"	2
"34"	2	"close negative"	34	"1. Mozart"	"sub"	2
"35"	2	"close negative"	35	"1. Mozart"	"sub"	2
"36"	2	"close negative"	36	"1. Mozart"	"sub"	2
"37"	2	"close negative"	37	"1. Mozart"	"sub"	2
"38"	2	"close negative"	38	"1. Mozart"	"sub"	2
"39"	2	"close negative"	39	"1. Mozart"	"sub"	2
"40"	2	"close negative"	40	"1. Mozart"	"sub"	2
"41"	2	"close negative"	41	"1. Mozart"	"sub"	2
"42"	2	"close negative"	42	"1. Mozart"	"sub"	2
"43"	2	"close negative"	43	"1. Mozart"	"sub"	2
"44"	2	"close negative"	44	"1. Mozart"	"rest"	5
"45"	2	"close negative"	45	"1. Mozart"	"rest"	5
"46"	2	"close negative"	46	"1. Mozart"	"sub"	2
"47"	2	"close negative"	47	"1. Mozart"	"rest"	5
"48"	2	"close negative"	48	"1. Mozart"	"sub"	2
"49"	2	"close negative"	49	"1. Mozart"	"sub"	2
"50"	2	"close negative"	50	"1. Mozart"	"sub"	2
"51"	2	"close negative"	51	"1. Mozart"	"sub"	2
"52"	2	"close negative"	52	"1. Mozart"	"rest"	5
"53"	2	"close negative"	53	"1. Mozart"	"sub"	2
"54"	2	"close negative"	54	"1. Mozart"	"sub"	2
"55"	2	"close negative"	55	"1. Mozart"	"sub"	2
"56"	2	"close negative"	56	"1. Mozart"	"rest"	5
"57"	2	"close negative"	57	"1. Mozart"	"base"	1
"58"	2	"close negative"	57	"1. Mozart"	"base"	1
"59"	3	"distant negative"	58	"1. Mozart"	"rest"	5
"60"	3	"distant negative"	59	"1. Mozart"	"cat"	3
"61"	3	"distant negative"	60	"1. Mozart"	"sub"	2
"62"	3	"distant negative"	61	"1. Mozart"	"cat"	3
"63"	3	"distant negative"	62	"1. Mozart"	"cat"	3
"64"	3	"distant negative"	63	"1. Mozart"	"cat"	3
"65"	3	"distant negative"	64	"1. Mozart"	"rest"	5
"66"	3	"distant negative"	65	"1. Mozart"	"sub"	2
"67"	3	"distant negative"	66	"1. Mozart"	"sub"	2
"68"	3	"distant negative"	67	"1. Mozart"	"sub"	2
"69"	3	"distant negative"	68	"1. Mozart"	"sub"	2
"70"	3	"distant negative"	69	"1. Mozart"	"base"	1
"71"	3	"distant negative"	70	"1. Mozart"	"cat"	3
"72"	3	"distant negative"	71	"1. Mozart"	"rest"	5
"73"	3	"distant negative"	72	"1. Mozart"	"sub"	2
"74"	3	"distant negative"	73	"1. Mozart"	"cat"	3
"75"	3	"distant negative"	74	"1. Mozart"	"rest"	5
"76"	3	"distant negative"	75	"1. Mozart"	"cat"	3
"77"	3	"distant negative"	76	"1. Mozart"	"rest"	5
"78"	3	"distant negative"	77	"1. Mozart"	"rest"	5
"79"	3	"distant negative"	78	"1. Mozart"	"sub"	2
"80"	3	"distant negative"	79	"1. Mozart"	"sub"	2
"81"	3	"distant negative"	80	"1. Mozart"	"sub"	2
"82"	3	"distant negative"	81	"1. Mozart"	"cat"	3
"83"	3	"distant negative"	82	"1. Mozart"	"sub"	2
"84"	3	"distant negative"	83	"1. Mozart"	"rest"	5
"85"	3	"distant negative"	84	"1. Mozart"	"cat"	3
"86"	3	"distant negative"	85	"1. Mozart"	"rest"	5
"87"	3	"distant negative"	85	"1. Mozart"	"cat"	3
"88"	2	"distant negative"	29	"10. Water"	"rest"	5
"89"	2	"distant negative"	30	"10. Water"	"sub"	2
"90"	2	"distant negative"	31	"10. Water"	"sub"	2
"91"	2	"distant negative"	32	"10. Water"	"sub"	2
"92"	2	"distant negative"	33	"10. Water"	"cat"	3
"93"	2	"distant negative"	34	"10. Water"	"super"	4
"94"	2	"distant negative"	35	"10. Water"	"cat"	3
"95"	2	"distant negative"	36	"10. Water"	"sub"	2
"96"	2	"distant negative"	37	"10. Water"	"cat"	3
"97"	2	"distant negative"	38	"10. Water"	"sub"	2
"98"	2	"distant negative"	39	"10. Water"	"sub"	2
"99"	2	"distant negative"	40	"10. Water"	"sub"	2
"100"	2	"distant negative"	41	"10. Water"	"sub"	2
"101"	2	"distant negative"	42	"10. Water"	"sub"	2
"102"	2	"distant negative"	43	"10. Water"	"sub"	2
"103"	2	"distant negative"	44	"10. Water"	"cat"	3
"104"	2	"distant negative"	45	"10. Water"	"cat"	3
"105"	2	"distant negative"	46	"10. Water"	"cat"	3
"106"	2	"distant negative"	47	"10. Water"	"cat"	3
"107"	2	"distant negative"	48	"10. Water"	"cat"	3
"108"	2	"distant negative"	49	"10. Water"	"base"	1
"109"	2	"distant negative"	50	"10. Water"	"cat"	3
"110"	2	"distant negative"	51	"10. Water"	"cat"	3
"111"	2	"distant negative"	52	"10. Water"	"cat"	3
"112"	2	"distant negative"	53	"10. Water"	"sub"	2
"113"	2	"distant negative"	54	"10. Water"	"super"	4
"114"	2	"distant negative"	55	"10. Water"	"rest"	5
"115"	2	"distant negative"	56	"10. Water"	"sub"	2
"116"	2	"distant negative"	57	"10. Water"	"super"	4
"117"	3	"close negative"	58	"10. Water"	"sub"	2
"118"	3	"close negative"	59	"10. Water"	"sub"	2
"119"	3	"close negative"	60	"10. Water"	"sub"	2
"120"	3	"close negative"	61	"10. Water"	"sub"	2
"121"	3	"close negative"	62	"10. Water"	"sub"	2
"122"	3	"close negative"	63	"10. Water"	"sub"	2
"123"	3	"close negative"	64	"10. Water"	"sub"	2
"124"	3	"close negative"	65	"10. Water"	"sub"	2
"125"	3	"close negative"	66	"10. Water"	"sub"	2
"126"	3	"close negative"	67	"10. Water"	"sub"	2
"127"	3	"close negative"	68	"10. Water"	"sub"	2
"128"	3	"close negative"	69	"10. Water"	"sub"	2
"129"	3	"close negative"	70	"10. Water"	"sub"	2
"130"	3	"close negative"	71	"10. Water"	"sub"	2
"131"	3	"close negative"	72	"10. Water"	"sub"	2
"132"	3	"close negative"	73	"10. Water"	"base"	1
"133"	3	"close negative"	74	"10. Water"	"sub"	2
"134"	3	"close negative"	75	"10. Water"	"sub"	2
"135"	3	"close negative"	76	"10. Water"	"sub"	2
"136"	3	"close negative"	77	"10. Water"	"sub"	2
"137"	3	"close negative"	78	"10. Water"	"sub"	2
"138"	3	"close negative"	79	"10. Water"	"base"	1
"139"	3	"close negative"	80	"10. Water"	"sub"	2
"140"	3	"close negative"	81	"10. Water"	"sub"	2
"141"	3	"close negative"	82	"10. Water"	"sub"	2
"142"	3	"close negative"	83	"10. Water"	"sub"	2
"143"	3	"close negative"	84	"10. Water"	"sub"	2
"144"	3	"close negative"	85	"10. Water"	"sub"	2
"145"	4	"baseline"	86	"10. Water"	"sub"	2
"146"	4	"baseline"	87	"10. Water"	"sub"	2
"147"	4	"baseline"	88	"10. Water"	"sub"	2
"148"	4	"baseline"	89	"10. Water"	"cat"	3
"149"	4	"baseline"	90	"10. Water"	"sub"	2
"150"	4	"baseline"	91	"10. Water"	"sub"	2
"151"	4	"baseline"	92	"10. Water"	"sub"	2
"152"	4	"baseline"	93	"10. Water"	"sub"	2
"153"	4	"baseline"	94	"10. Water"	"sub"	2
"154"	4	"baseline"	95	"10. Water"	"sub"	2
"155"	4	"baseline"	96	"10. Water"	"sub"	2
"156"	4	"baseline"	97	"10. Water"	"sub"	2
"157"	4	"baseline"	98	"10. Water"	"base"	1
"158"	4	"baseline"	99	"10. Water"	"sub"	2
