"list"	"premset"	"ss"	"item"	"rules"	"ruletype"
"1"	1	"posA"	1	1	"sub"	2
"2"	1	"posA"	2	1	"sub"	2
"3"	1	"posA"	3	1	"rest"	5
"4"	1	"posA"	4	1	"cat"	3
"5"	1	"posA"	5	1	"cat"	3
"6"	1	"posA"	6	1	"sub"	2
"7"	1	"posA"	7	1	"rest"	5
"8"	1	"posA"	8	1	"base"	1
"9"	1	"posA"	9	1	"cat"	3
"10"	1	"posA"	10	1	"rest"	5
"11"	1	"posA"	11	1	"sub"	2
"12"	1	"posA"	12	1	"base"	1
"13"	1	"posA"	13	1	"base"	1
"14"	1	"posA"	14	1	"rest"	5
"15"	1	"posA"	15	1	"base"	1
"16"	1	"posA"	16	1	"cat"	3
"17"	1	"posA"	17	1	"cat"	3
"18"	1	"posA"	18	1	"cat"	3
"19"	1	"posA"	19	1	"cat"	3
"20"	1	"posA"	20	1	"cat"	3
"21"	1	"posA"	21	1	"cat"	3
"22"	1	"posA"	22	1	"cat"	3
"23"	1	"posA"	23	1	"cat"	3
"24"	1	"posA"	24	1	"cat"	3
"25"	1	"posA"	25	1	"cat"	3
"26"	1	"posA"	26	1	"cat"	3
"27"	1	"posA"	27	1	"cat"	3
"28"	1	"posA"	28	1	"rest"	5
"29"	1	"posA"	29	1	"super"	4
"30"	1	"posA"	30	1	"sub"	2
"31"	1	"posA"	31	1	"base"	1
"32"	1	"posA"	32	1	"rest"	5
"33"	1	"posA"	33	1	"cat"	3
"34"	1	"posA"	34	1	"cat"	3
"35"	1	"posA"	35	1	"rest"	5
"36"	1	"posA"	36	1	"cat"	3
"37"	1	"posA"	37	1	"cat"	3
"38"	1	"posA"	38	1	"cat"	3
"39"	2	"posAnegC"	39	1	"rest"	5
"40"	2	"posAnegC"	40	1	"cat"	3
"41"	2	"posAnegC"	41	1	"rest"	5
"42"	2	"posAnegC"	42	1	"rest"	5
"43"	2	"posAnegC"	43	1	"rest"	5
"44"	2	"posAnegC"	44	1	"rest"	5
"45"	2	"posAnegC"	45	1	"cat"	3
"46"	2	"posAnegC"	46	1	"cat"	3
"47"	2	"posAnegC"	47	1	"rest"	5
"48"	2	"posAnegC"	48	1	"cat"	3
"49"	2	"posAnegC"	49	1	"rest"	5
"50"	2	"posAnegC"	50	1	"cat"	3
"51"	2	"posAnegC"	51	1	"cat"	3
"52"	2	"posAnegC"	52	1	"cat"	3
"53"	2	"posAnegC"	53	1	"cat"	3
"54"	2	"posAnegC"	54	1	"cat"	3
"55"	2	"posAnegC"	55	1	"rest"	5
"56"	2	"posAnegC"	56	1	"rest"	5
"57"	2	"posAnegC"	57	1	"base"	1
"58"	2	"posAnegC"	58	1	"cat"	3
"59"	2	"posAnegC"	59	1	"cat"	3
"60"	2	"posAnegC"	60	1	"cat"	3
"61"	2	"posAnegC"	61	1	"rest"	5
"62"	2	"posAnegC"	62	1	"cat"	3
"63"	2	"posAnegC"	63	1	"rest"	5
"64"	2	"posAnegC"	64	1	"cat"	3
"65"	2	"posAnegC"	65	1	"rest"	5
"66"	2	"posAnegC"	66	1	"cat"	3
"67"	2	"posAnegC"	67	1	"sub"	2
"68"	2	"posAnegC"	68	1	"cat"	3
"69"	2	"posAnegC"	69	1	"rest"	5
"70"	2	"posAnegC"	70	1	"cat"	3
"71"	2	"posAnegC"	71	1	"rest"	5
"72"	2	"posAnegC"	72	1	"cat"	3
"73"	2	"posAnegC"	73	1	"rest"	5
"74"	2	"posAnegC"	74	1	"cat"	3
"75"	2	"posAnegC"	75	1	"base"	1
"76"	2	"posAnegC"	76	1	"rest"	5
"77"	2	"posAnegC"	77	1	"cat"	3
"78"	1	"posA"	1	2	"rest"	5
"79"	1	"posA"	2	2	"sub"	2
"80"	1	"posA"	3	2	"sub"	2
"81"	1	"posA"	4	2	"cat"	3
"82"	1	"posA"	5	2	"cat"	3
"83"	1	"posA"	6	2	"cat"	3
"84"	1	"posA"	7	2	"rest"	5
"85"	1	"posA"	8	2	"sub"	2
"86"	1	"posA"	9	2	"cat"	3
"87"	1	"posA"	10	2	"cat"	3
"88"	1	"posA"	11	2	"cat"	3
"89"	1	"posA"	12	2	"cat"	3
"90"	1	"posA"	13	2	"cat"	3
"91"	1	"posA"	14	2	"cat"	3
"92"	1	"posA"	15	2	"rest"	5
"93"	1	"posA"	16	2	"cat"	3
"94"	1	"posA"	17	2	"cat"	3
"95"	1	"posA"	18	2	"cat"	3
"96"	1	"posA"	19	2	"sub"	2
"97"	1	"posA"	20	2	"cat"	3
"98"	1	"posA"	21	2	"cat"	3
"99"	1	"posA"	22	2	"cat"	3
"100"	1	"posA"	23	2	"super"	4
"101"	1	"posA"	24	2	"cat"	3
"102"	1	"posA"	25	2	"cat"	3
"103"	1	"posA"	26	2	"cat"	3
"104"	1	"posA"	27	2	"cat"	3
"105"	1	"posA"	28	2	"rest"	5
"106"	1	"posA"	29	2	"cat"	3
"107"	1	"posA"	30	2	"cat"	3
"108"	1	"posA"	31	2	"rest"	5
"109"	1	"posA"	32	2	"rest"	5
"110"	1	"posA"	33	2	"cat"	3
"111"	1	"posA"	34	2	"cat"	3
"112"	1	"posA"	35	2	"cat"	3
"113"	1	"posA"	36	2	"cat"	3
"114"	1	"posA"	37	2	"base"	1
"115"	1	"posA"	38	2	"rest"	5
"116"	2	"posAnegC"	39	2	"cat"	3
"117"	2	"posAnegC"	40	2	"cat"	3
"118"	2	"posAnegC"	41	2	"cat"	3
"119"	2	"posAnegC"	42	2	"cat"	3
